# GENERATED by tools_local/wikipedia/fold_table.py; do not edit.
# input<TAB>expected, one per line; \t \n \r \f \v \\ escape the
# characters they name. Lines starting with # are comments.
Earth	earth
ȦƎϪŽ_zeta	aǝϫz zeta
  _Alpha_Хű_京本語	alpha хu 京本語
THETAТёŲӀӓӸęй	thetaтеuӏаыeи
Alpha_Ώ_zeta_ _ 	alpha ω zeta
Alpha_beta_ب_delta_GAMMA	alpha beta ب delta gamma
ΣƏЯͰ_Ѡĕќϊ	σəяͱ ѡeкι
betaAlpha	betaalpha
Ӵǲĺ	чdl
zeta š zeta	zeta s zeta
beta عب글 _ Alpha Epsilon	beta عب글 alpha epsilon
GAMMA_  _ŐӸϺâ_beta_eta	gamma oыϻa beta eta
 _ 	
delta	delta
ŕϖ	rπ
Ϙ_京_beta_eta_THETA	ϙ 京 beta eta theta
;ΉȬģ	;ηog
eta_ÕϞά	eta oϟα
beta	beta
ȍǣ_ЮΊѐĉ_eta_GAMMA	oæ юιеc eta gamma
beta_THETA_beta___Ȼ	beta theta beta ȼ
eta їȘӨ ŵǩ _ ѷ	eta іsө wk ѵ
ѼƖЛ THETA	ѽɩл theta
ϵҎė _ zeta	εҏe zeta
\tTHETAzeta _ 	thetazeta
ŏGAMMA  Alpha	ogamma alpha
ΡϹ THETA THETA	ρσ theta theta
Ƞà_Alpha	ƞa alpha
語ع_beta_THETA_Epsilon	語ع beta theta epsilon
GAMMA _ Ǆ ĳӖĵ GAMMA	gamma d iеj gamma
Ű 글	u 글
Ɇ	ɇ
ӃЉӶȪ    eta    語	ӄљӷo eta 語
Alpha_ёīſȀ_ŶŝЙ	alpha еisa ysи
Ŝzeta	szeta
å ҒӰ delta ëö   	a ғу delta eo
Alpha本한	alpha本한
