# BLIND SHEET. For each pair, which clue would FEWER groups of
# four ordinary internationally-mixed adults answer correctly,
# spoken aloud, 20 seconds, no options? That one is HARDER.
# Write A or B, or TIE when you genuinely cannot separate them.
# Ratings, levels, question ids and the band are deliberately absent.
pair	A_clue	A_answer	B_clue	B_answer
P022	Translated into English, Giuseppe Verdi becomes Joe Green & he becomes John Brook	Johann (Sebastian) Bach	Walt Whitman's line "Where on the deck my captain lies, fallen cold and dead" referred to this man	Lincoln
P023	This Canadian province consists of a large island & a peninsula attached to New Brunswick	Nova Scotia	In February 1801, after 36 ballots in the House, Jefferson was declared president, this man vice president	Aaron Burr
P024	Ornate rosewood sofas with red velour upholstery are typical of the style named for this queen	Victoria	This Austrian capital has a boys' choir to sing its praises	Vienna
P025	In the 1950s, this well-traveled Danish author was a contender for a Nobel Prize	Isak Dinesen	In "Pride and Prejudice", Mrs. Bennet says, "The country is a vast deal pleasanter" than this city	London
P026	A pentode is an electronic vacuum tube with this many electrodes	5	A seafood cocktail called zarzuela is a specialty of this country's Costa Brava	Spain
P027	Chi Chi Rodriguez said that this sport is "the most fun you can have without taking your clothes off"	golf	Gore Vidal's monumental novel about this president was a bestseller in 1984	Lincoln
P028	The olfactory bulb sends sends the brain info about this sense	smell	The diamond known as the "Star of" this continent is set in the British royal scepter	Africa
P029	His grandfather, also named Ludwig, was a Flemish immigrant who moved to Bonn in 1733	Beethoven	He introduced his bar in 1894 & his Kiss in 1907	Hershey
P030	This horticulturist was the 13th child of Samuel Walton Burbank	Luther Burbank	This country's dialects, such as Hakka & Wu, differ so greatly they're really separate languages	China
P031	Tulle is named for a city in this country where it was first made in the early 1800s	France	It's an official language of Dominica, Namibia & New Zealand	English
P032	John Cranko's ballet "Brandenburg Nos. 2 and 4" is danced to this composer's music	Bach	Izaak Walton wrote a moving but inaccurate biography of this "For Whom the Bell Tolls" poet	John Donne
P033	Shakespeare wrote that this Roman "doth bestride the narrow world like a colossus"	Julius Caesar	In 1787, he wrote "A little rebellion now & then is a good thing"	Thomas Jefferson
P034	In June 1988 M. Thatcher held an emergency meeting to find ways to curb fan violence in this sport	soccer	His first book published in the U.S. was "The Cosmological Eye"; "Tropic of Cancer" came 20 years later	Henry Miller
P035	An isosceles triangle has this many sides equal in length	2	Central America is bordered by Mexico to the Northwest and by this country to the Southeast	Colombia
P036	He was elected to the Senate in 1791, defeating Alexander Hamilton's father-in-law	Aaron Burr	This delicate openwork fabric is the traditional gift for a 13th anniversary	lace
P037	This composers "Hunt Quartet", K. 458, is so named because its opening sounds like hunting horns	Mozart	Some say this president died after a month in office because Tecumseh's brother put a curse on him	William Henry Harrison
P038	In 1990 a 7-ton bronze statue of this Russian leader was removed from a public square in Bucharest	Lenin	In one of its 27 new commercials for 1993, a group of polar bears watched the aurora borealis	Coca-Cola
P039	Samuel Adams called this country "a nation of shopkeepers"	England	"The Honourable Laura" & "The First Countess of Wessex" are stories in his book "A Group of Noble Dames"	Thomas Hardy
P040	In 1980 Reykjavik Theater director VIgdis Finnbogadottir became this country's first woman president	Iceland	Her father, Lyman Beecher, was a Congregationalist minister in Litchfield, Connecticut	Harriet Beecher Stowe
P041	This newspaper magnate ran for the Democratic presidential nomination in 1904	Hearst	This type of football is named for a school in England	rugby
P042	About 3,800 miles west of Pearl Harbor, Apra Harbor in this U.S. territory that's part of the Marianas saw fighting in 1944	Guam	Popularly worn in brooches, cairngorm is a smoky quartz from this country	Scotland
P043	The largest town on this island is Godthaab, known as Nuk in the Eskimo language	Greenland	His middle name is Albert, though "Iberia" or "Centennial" might be more appropriate	James Michener
P044	Twyla Tharp choreographed both hippies & horses in New York's Central Park for this movie musical	Hair	In 2005 Mikhail Khodorkovsky, once this country's richest man, got 9 years in jail for fraud & tax evasion	Russia
P045	"The Exile" was her acclaimed biography of her missionary mother, Caroline Stulting Sydenstricker	Pearl Buck	Henry VIII married Jane Seymour 11 days after he had this wife beheaded	Anne Boleyn
P046	In August 1989 this became the last planet visited by the Voyager 2 spacecraft	Neptune	"God Knows", a 1984 novel by this "Catch-22" author, is a satire narrated by King David	Joseph Heller
P047	At a 1943 meeting in this North African city, FDR & Churchill agreed to an invasion of "the soft underbelly of the Axis"	Casablanca	KO is this company that wants to K.O. PEP (Pepsico)	Coca-Cola
P048	Flora was the Roman goddess of these	flowers	From 1933 to 1935, he served as president of Germany's Reichmusikkammer, or chamber of state music	Richard Strauss
P049	Philip Casnoff wore blue contact lenses when he played this singer in an acclaimed 1992 miniseries	Frank Sinatra	Diana's eyes are this color & you could say her blood is that color too	blue
P050	Time magazine said a guard at this London palace broke down in '59 & kicked a tourist, becoming a media hero	Buckingham Palace	Encyclopedia Americana says Manx, the native language of this place, is no longer spoken	Isle of Man
P051	In 1952 he began using an X in place of the surname Little which he said came from slave masters	Malcolm X	In 1949 this Nobel laureate founded Welcome House, an adoption agency specializing in Asian-American children	Pearl Buck
P052	The first Japanese possession the U.S. took in WWII was Kwajalein, an island in the group named for this explorer	John Marshall	This country is part of the U.K., but not part of Great Britain	Northern Ireland
P053	In 1999 this country will return Macao to China	Portugal	In 1972 he founded the Kinte Foundation, a clearing house for black genealogy	Haley
P054	"His Rotundity" wasn't Taft, but this president who had served as Washington's VP	John Adams	A 1994 bestseller was "Zlata's Diary", Zlata Filipovic's diary of her time in this war-torn city	Sarajevo
P055	He continued the story of "Kidnapped" in his 1893 book "Catriona"	Robert Louis Stevenson	You can thicken a thin sauce by adding beurre manie, a kneaded mixture of flour & this	butter
P056	Tom Brown's school days under headmaster Dr. Arnold were at this sporty school	Rugby	Deerstalkers & derbies are types of these	hats
P057	Only 11 first editions survive of this author's first book, "Tamerlane and Other Poems"	Edgar Allan Poe	At the Jagiellonian Univ. in Krakow, you can see many of the instruments used by this Polish astronomer	Copernicus
P058	Her name is now on a line of luggage, which is apt, since she's been missing since 1937	Amelia Earhart	The central part of this Italian city is dominated by the Piazza San Marco	Venice
P059	"From the South Seas" is a 1939 collection of her anthropological writings	Margaret Mead	This language's main dialect, Castilian, developed from the area of Burgos	Spanish
P060	The thin strands that make up fiber optic cables can be plastic, but this material is more efficient	glass	Her father, Edward, was treasurer of Amherst College 1835-1873, & also served in Congress	Dickinson
P061	Pistachio is a shade of this color	Green	In 1869 this "wild" & crazy guy killed 2 men as acting sheriff of Ellis County, Kansas	Wild Bill Hickok
P062	Alphabetically, it's the last element on the periodic table	zirconium	This island was a separate British dominion that did not join Canada until 1949	Newfoundland
P063	This author discussed the horror genre in his 1981 work "Danse Macabre"	Stephen King	In 1981 Giovanni Spadolini became the first non-Christian Democrat premier of this country since 1945	Italy
P064	On July 11, 1864 Jubal Early & his troops were dangerously close to this capital	Washington, D.C.	This organ weighs 12 ounces at birth, grows to 3 pounds in adulthood & contains about 10 billion neurons	brain
P065	In 1932 he created the Taliesin fellowship for those wanting to learn organic architecture	Frank Lloyd Wright	A fountain at Hearst Castle boasts several sculptures of Sekhmet, a lion-headed goddess of this civilization	Egypt
P066	England now rules this island discovered by Spanish explorer Juan Bermúdez	Bermuda	He was the first vice president to serve more than 4 years in the office	John Adams
P067	After writing a book about Marilyn Monroe, this feminist established the Marilyn Monroe Children's Fund	Gloria Steinem	Aquarians are eccentric & march to the beat of their own... harpsichord? like this musical genius, born Jan. 27, 1756 in Austria	Mozart
P068	John Milton was member of Puritan govt. which ruled England under leadership of this man	Oliver Cromwell	In 2002 an 800-mile-diameter planetoid called Quaoar was found 1 billion miles past this 1430-mile-diameter planet	Pluto
P069	In October 1962 the U.S. demanded the withdrawal of all offensive missiles from this country	Cuba	In 1939 he published an "official guide of the Tarzan Clans of America"	Edgar Rice Burroughs
P070	This Southwest Pacific country's longest river, the Waikato, flows 264 miles on North Island	New Zealand	To honor its 1521 discovery, this U.S. Pacific territory celebrates Magellan Day on March 6	Guam
P071	In 1974 it became the only official language of Canada's Quebec province	French	With both eyes facing forward, it has greatest range of binocular vision in birds	owl
P072	Among his titles are the son of David, Lamb of God & King of kings	Jesus	A coconut is said to have this many eyes	3
P073	As he had done, his Frederic Henry in "A Farewell to Arms" worked in the ambulance service in WWI	Hemingway	His novel "Carrie" was first subtitled "A Novel of a Girl with a Frightening Power"	Stephen King
P074	Canada's Spotted Lake is found over the border from Washington in this province	British Columbia	Thutmose III, who lived in the 1400s B.C., is called the Napoleon of this ancient country	Egypt
P075	1494's Treaty of Tordesillas aimed to settle a dispute between Portugal & this nation over New World territories	Spain	"Basic Instinct" won 4 of the 1st Rembrandts—not paintings, but film video awards in this country	Netherlands
P076	The 1794 treaty named for this Chief Justice provided for the removal of the British from U.S. territory	John Jay	Steven Petrosino drank a liter of this brew in 1.3 seconds	beer
P077	Readers had to wait 13 years between his first novel "Catch-22", & his next, "Something Happened"	Joseph Heller	Black Friday, September 24, 1869, resulted from Gould & Fisk's attempt to corner the U.S. supply of this	gold
P078	Alphabetically it was the first sport at the 1992 Summer Olympics	archery	A poem about this prison said, "There's a graveyard near at hand... 12,000 Union men beneath the Georgia sand"	Andersonville
P079	Few of the women traveling first class on this ship perished when it sank in 1912	Titanic	130 years ago Tennessean Wm. Walker took over & became pres. of this strife-torn Cent. American country	Nicaragua
P080	His "Portrait of the Artist as a Young Man" is largely autobiographical	Joyce	This explorer landed on Venezuela's Paria Peninsula in August 1489	Columbus
P081	Lenin called him ruthless, and his purges proved he was	Stalin	Alice B. Toklas translated her 1938 book "Picasso" into English	Gertrude Stein
P082	Her poem "I Heard a Fly Buzz" was a take-off from a chapter in "The House of the Seven Gables"	Emily Dickinson	A tete-a-tete usually requires this many people	2
P083	In 1530 Charles V became the last emperor of this crowned by the Pope	Holy Roman	Cherry Heering is made by the firm of Peter Heering in this Scandinavian country	Denmark
P084	This automobile firm once used the advertising line "Oh what a feeling!"	Toyota	Calling it "a highway to our Indian empire," Disraeli bought 177,000 shares in the co. that ran this waterway	Suez Canal
P085	This building in Arlington, Virginia has 131 stairways, 19 escalators & 17.5 miles of corridors	Pentagon	Gustav Vigeland's former studio is now a museum in this Norwegian capital	Oslo
P086	"Of all who give gifts these two were the wisest", says "The Gift of the Magi" by this author	O. Henry	Gout can cause nephritis, the swelling of one or both of these	kidneys
P087	Originally, this Roman fire god was the god of volcanic fire	Vulcan	He wrote comic book stories for "Captain America" & "Captain Marvel" before hitting it big with "I, the Jury"	Mickey Spillane
P088	In the 1880s Eliezer Ben-Yehuda founded a magazine dedicated to reviving this as a living language	Hebrew	Known for his geodesic dome, he once designed a dome to cover all of Midtown Manhattan	Buckminster Fuller
P089	It's the state religion of Qatar	Islam	This playwright wrote in "Candida", "I'm only a beer teetotaler, not a champagne teetotaler"	George Bernard Shaw
P090	In a 2013 movie, this character says of a symbol he wears, "It's not an 'S'—on my world it means 'hope'"	Superman	This divorced Algonquin "News Item" poet & wit continued writing under her married name	Dorothy Parker
